rolling_average;rolling_average_w_error;rolling_average_buy_imb;rolling_average_sell_imb;triangular;triangular_w_error;triangular_buy_imb;triangular_sell_imb;weibull;weibull_w_error;weibull_buy_imb;weibull_sell_imb;baseline;baseline_w_error;baseline_buy_imb;baseline_sell_imb
3504.777744919866;3434.6021948136367;70.17555010622937;0.0;2025.269229841681;1855.436279458075;169.83295038360598;0.0;1967.6097051851293;2103.3927634957;0.0;135.7830583105706;3138.0880095195903;3253.7189192546048;0.0;115.63090973501448
3251.763573620173;3404.47722558227;0.0;152.71365196209717;3616.0670014736324;3463.564019573581;152.5029819000515;0.0;4956.13717426737;5093.508434769022;0.0;137.3712605016517;3138.0880095195903;3041.4650758302178;96.62293368937253;0.0
3124.441021211205;3167.7913098074287;0.0;43.350288596223436;3586.873838065346;3500.9721584245954;85.90167964075044;0.0;1485.1089421184358;1398.3914566800072;86.71748543842864;0.0;3138.0880095195903;3095.855619092602;42.23239042698833;0.0
2699.679333455786;2488.149904987831;211.52942846795486;0.0;3487.0348488704994;3679.5867619978803;0.0;192.55191312738089;5633.0;5633.0;0.0;-0.0;3138.0880095195903;3082.284430470868;55.80357904872244;0.0
2492.361573214751;2618.794869529086;0.0;126.43329631433517;2471.507584796922;2432.0586653016594;39.448919495262544;0.0;4831.430386159886;4929.66439474038;0.0;98.23400858049354;3138.0880095195903;3196.82722708699;0.0;58.73921756739992
3069.0838833031958;3103.5378268846043;0.0;34.453943581408566;4061.9683128016027;3772.336723691653;289.6315891099498;0.0;2378.2299183083164;2378.1928876872807;0.037030621035683;0.0;3138.0880095195903;3024.115716656776;113.97229286281436;0.0
3549.1459479393075;3307.079086774816;242.06686116449146;0.0;3388.2736585276975;3151.743107705569;236.5305508221286;0.0;3606.2352585767294;3451.3773159193875;154.85794265734194;0.0;3138.0880095195903;3159.959838843427;0.0;21.871829323836664
3753.14886418503;3775.05105259241;0.0;21.90218840737998;2936.4092676403084;3146.1652208630317;0.0;209.7559532227233;4749.469278267805;4962.366547628245;0.0;212.89726936044008;3138.0880095195903;3083.7730296682407;54.31497985134956;0.0
3177.0395731916087;3200.95110196601;0.0;23.911528774401177;5332.115370286254;5040.105956904784;292.00941338147004;0.0;2728.148714527293;2633.4120423779377;94.7366721493554;0.0;3138.0880095195903;3002.2136619685266;135.8743475510637;0.0
3827.60419575096;3742.9129589255344;84.69123682542568;0.0;2828.577529570166;2760.720647204875;67.85688236529086;0.0;5633.0;5633.0;0.0;-0.0;3138.0880095195903;3164.4860871643723;0.0;26.398077644782006
3629.9131057428854;3829.1216072145676;0.0;199.2085014716822;2705.3566017053736;2674.7448920416473;30.611709663726288;0.0;1580.9647619257553;1635.1529040411522;0.0;54.188142115396886;3138.0880095195903;3322.851884009752;0.0;184.76387449016192
3347.1069632387516;3144.7274123742945;202.3795508644571;0.0;4086.3280483682483;3801.185435920421;285.14261244782756;0.0;1429.5012928633416;1332.8349139066877;96.66637895665394;0.0;3138.0880095195903;2958.8213731821634;179.26663633742692;0.0
3565.269863765818;3348.518420784701;216.75144298111718;0.0;4889.406713977054;5022.053752077078;0.0;132.64703810002356;5633.0;5633.0;0.0;-0.0;3138.0880095195903;2928.3315368298827;209.7564726897076;0.0
2895.663808575863;2738.50766020909;157.15614836677332;0.0;5588.261119460359;5299.155466559998;289.10565290036084;0.0;5633.0;5633.0;0.0;-0.0;3138.0880095195903;3003.6304759254167;134.45753359417358;0.0
2662.7052002615037;2890.044466871482;0.0;227.3392666099785;2371.375997288291;2411.1878868436925;0.0;39.81188955540165;2067.3784272818752;2240.0645567111237;0.0;172.68612942924847;3138.0880095195903;3214.7735372076017;0.0;76.68552768801146
3555.2610026155903;3250.2234577456384;305.03754486995194;0.0;4524.3847618658765;4627.286773915158;0.0;102.90201204928144;4708.83434345143;4384.396729018381;324.437614433049;0.0;3138.0880095195903;3317.4491001208107;0.0;179.36109060122044
3885.6253178743796;3801.195181774612;84.43013609976742;0.0;5406.279783390482;5235.635706035751;170.64407735473105;0.0;5633.0;5633.0;0.0;-0.0;3138.0880095195903;3230.4756140204995;0.0;92.38760450090922
3708.4022543168094;3579.4487683896004;128.95348592720893;0.0;2169.183154910495;2171.242454435363;0.0;2.059299524868038;2438.688578919071;2470.9463643545087;0.0;32.257785435437654;3138.0880095195903;3328.069537541661;0.0;189.9815280220705
2859.264853791726;2765.435091568266;93.82976222345997;0.0;1677.8068803337376;1555.3896718878232;122.41720844591441;0.0;4417.925899109372;4467.575732891187;0.0;49.64983378181478;3138.0880095195903;3051.3185446290718;86.76946489051852;0.0
2510.1391269704304;2648.424125788551;0.0;138.28499881812058;2337.4123702324687;2108.770862554168;228.6415076783005;0.0;3090.3657914435307;3014.169116892655;76.19667455087574;0.0;3138.0880095195903;3206.004403357088;0.0;67.91639383749771
