T,gebruik waterstof,waterstof stock,cashflow WA,TMK bot,TMK top,onbalansstroom inkopen PL,onbalansstroom verkopen PL
91,0,70.282112,57921.23047,0,7970.93457,0,56.200001
92,22,33.542114,68814.5,220,18863.83398,0,0
93,0,73.542114,45283.87891,0,-4666.384766,0,61.200001
94,40,6.742116,39656.35156,400,-10294.58203,71,0
95,0,6.742116,48770.19922,0,-1180.733398,4,0
96,4.037195,0,40223.46875,40.371952,-9727.53125,26.962805,0
97,0,0,33893.69922,0,-16057.30176,0,39
98,0,0,39284.70313,0,-10666.29785,87,0
99,0,0,40094.85156,0,-9856.149414,65,0
100,0,0,65537.20313,0,15586.2002,0,130
101,0,0,42634,0,-7317,0,5
102,0,0,66652.85156,0,16701.84766,104,0
103,0,0,62476.19922,0,12525.19922,36,0
104,0,0,111612.9063,0,61661.90234,77,0
105,0,0,100504.75,0,50553.75,0,6
106,0,40,62754.98047,0,12804.37988,0,17.200003
107,24.799997,38.584003,57308,247.999985,7357.385742,0,0
108,3,33.574005,55820.5,30,5869.835938,0,0
109,0,59.630344,66490.55469,0,16540.14844,0,0
110,0,99.630341,58026.63281,0,8076.628906,0,86.200005
111,0,99.630341,56507.85156,0,6557.84668,149,0
112,0,139.630341,80787.58594,0,30837.98242,0,35.200001
113,0,179.630341,71069.88281,0,21120.67773,0,32.200001
114,0,179.630341,122680.3516,0,72731.14844,39,0
115,0,219.630341,119602.0703,0,69653.26563,0,112.200005
116,0,227.376816,75820.80469,0,25872.07422,0,0
117,0,267.376831,73725.92969,0,23777.60156,0,4.200002
118,40,200.576828,75734.25,400,25785.25586,65,0
119,40,133.776825,82216.75,400,32267.08594,30,0
120,0,133.776825,70909.79688,0,20960.13477,29,0
121,40,66.97683,18507.05078,400,-31443.2793,1,0
122,4,60.296829,8236.75,40,-41713.64844,0,0
123,36.105888,0,7902.133789,361.058868,-42048.86719,3.894113,0
124,0,40,11432.95996,0,-38517.64063,0,0.200002
