rolling_average,triangular,weibull
84.47017901830304,120.00715410334051,95.3
93.7406209661254,111.68999672701919,72.6
98.81234606661474,114.41270632560902,75.5
90.85427938812182,96.23099587793985,99.4
97.72331163314729,92.29193526928057,85.9
90.49073406840596,101.4041865346854,123.2
86.29246685604812,90.02104967895421,87.7
87.27375222578262,84.27475968238947,82.6
96.3296712932954,113.15004771384027,75.2
94.84710875448309,103.12395485850186,112.2
88.35803992326964,96.81098373426545,84.4
85.91910039116925,95.06269641085458,77.6
90.02575017325483,87.96518346861518,77.4
97.59493519342445,94.59583767250831,92.2
99.07872172659407,99.25536818328642,94.1
100.45929432785775,88.17964171463262,90.7
92.02317833249006,82.74620610065564,116.7
91.7378777066383,75.51370627554229,113.2
91.51533001611634,75.03237749671942,76.9
98.88857756827412,88.1516841478632,81.7
93.59018797544599,107.9060416342498,72.3
93.71151637803675,100.29521402190122,76.0
99.71332634170761,87.57165261700263,105.2
92.77915626410541,91.95919205203069,106.8
84.59127646133831,95.51084724696513,117.9
91.70204549128843,108.63913876753804,99.8
83.91630939978062,82.49674598260097,97.6
89.5081150853878,91.51351349492197,76.2
90.56951628424741,110.36921221557668,78.8
85.26104844485266,88.42943849591033,78.0
83.48059934875988,104.4577018915266,63.5
87.15764552241707,80.33776898797178,92.1
92.29193375161626,62.609411395613506,97.7
88.1241024277488,79.80356228006269,101.2
93.85487286283103,77.92907544657412,70.8
90.10705181226984,103.76235649556713,105.2
83.47294717266612,93.1172663199436,102.8
79.88983904919068,75.75528797539819,64.0
88.97855899525223,86.2518464938174,77.3
90.06541917890235,80.96422798926115,104.6
88.94627023731083,93.21043618762548,100.0
92.94246984011255,75.02361235239108,80.9
94.83291647003014,89.19105765915083,62.9
90.86745961305449,113.4016522747701,62.9
90.90975716479187,90.67329562920665,110.0
85.72390143773441,77.25814206967014,119.5
85.94174925710959,88.07122610343598,65.6
92.08232875199481,86.52159619561556,81.7
70.0,48.8975105365496,50.5
64.31716949553649,62.16392293577677,55.3
58.447847354302084,56.29557669607624,48.7
57.7099333034206,56.43712894143399,53.5
57.37492323283449,47.51454365900857,55.1
57.98196938109686,60.87025534882223,65.6
55.20157284101851,58.11305169169816,61.9
57.59070196241625,62.536397937007706,45.8
60.70855300883878,58.38516787638646,68.6
56.632225575317236,49.278652869446006,56.2
54.4518429442611,57.17504141317867,45.4
56.85450207650746,60.66992639786157,57.0
58.51450311477781,59.24178597339861,58.9
56.56126769497122,66.80453549238452,55.7
59.77272976324528,51.52734550470838,54.4
60.96054349528316,48.26854312199252,52.3
61.06327044101546,57.37155903170616,61.7
