,Electricity_price,Hour_coarse_Eprice,Day_coarse_Eprice
0,37.884,38.923500000000004,36.12039302083334
1,40.271,38.923500000000004,36.12039302083334
2,39.501,38.923500000000004,36.12039302083334
3,38.038000000000004,38.923500000000004,36.12039302083334
4,38.52576,37.6467,36.12039302083334
5,37.0734,37.6467,36.12039302083334
6,37.34094,37.6467,36.12039302083334
7,37.6467,37.6467,36.12039302083334
8,37.2732,35.6712,36.12039302083334
9,34.5676,35.6712,36.12039302083334
10,35.6356,35.6712,36.12039302083334
11,35.2084,35.6712,36.12039302083334
12,33.528,33.528,36.12039302083334
13,32.736,33.528,36.12039302083334
14,34.056,33.528,36.12039302083334
15,33.792,33.528,36.12039302083334
16,27.49223,27.5539025,36.12039302083334
17,26.3136,27.5539025,36.12039302083334
18,27.6841,27.5539025,36.12039302083334
19,28.72568,27.5539025,36.12039302083334
20,28.72568,27.5539025,36.12039302083334
21,27.245540000000002,27.5539025,36.12039302083334
22,27.54705,27.5539025,36.12039302083334
23,26.697340000000004,27.5539025,36.12039302083334
24,26.36416,27.22416,36.12039302083334
25,26.25408,27.22416,36.12039302083334
26,28.896,27.22416,36.12039302083334
27,27.3824,27.22416,36.12039302083334
28,27.604,26.712899999999998,36.12039302083334
29,26.531999999999996,26.712899999999998,36.12039302083334
30,26.7732,26.712899999999998,36.12039302083334
31,25.9424,26.712899999999998,36.12039302083334
32,27.141440000000003,27.718160000000005,36.12039302083334
33,28.0528,27.718160000000005,36.12039302083334
34,27.397759999999998,27.718160000000005,36.12039302083334
35,28.280640000000002,27.718160000000005,36.12039302083334
36,28.873820000000002,28.181070000000002,36.12039302083334
37,27.682290000000002,28.181070000000002,36.12039302083334
38,28.34733,28.181070000000002,36.12039302083334
39,27.820840000000004,28.181070000000002,36.12039302083334
40,33.89904,33.4366275,36.12039302083334
41,32.2848,33.4366275,36.12039302083334
42,34.605270000000004,33.4366275,36.12039302083334
43,32.9574,33.4366275,36.12039302083334
44,36.4544,35.1817,36.12039302083334
45,34.0692,35.1817,36.12039302083334
46,33.8912,35.1817,36.12039302083334
47,36.312,35.1817,36.12039302083334
48,37.0831,38.91814,36.12039302083334
49,39.72097,38.91814,36.12039302083334
50,39.30044,38.91814,36.12039302083334
51,39.56805,38.91814,36.12039302083334
52,36.7472,38.4263,36.12039302083334
53,39.4106,38.4263,36.12039302083334
54,37.6736,38.4263,36.12039302083334
55,39.8738,38.4263,36.12039302083334
56,31.79195,32.92381,36.12039302083334
57,34.58831,32.92381,36.12039302083334
58,33.05697,32.92381,36.12039302083334
59,32.25801,32.92381,36.12039302083334
60,31.30108,31.966715,36.12039302083334
61,32.82717,31.966715,36.12039302083334
62,30.8465,31.966715,36.12039302083334
63,32.892109999999995,31.966715,36.12039302083334
64,33.86175,33.774924999999996,36.12039302083334
65,33.93121,33.774924999999996,36.12039302083334
66,34.104859999999995,33.774924999999996,36.12039302083334
67,33.201879999999996,33.774924999999996,36.12039302083334
68,42.30135,41.6052,36.12039302083334
69,42.8337,41.6052,36.12039302083334
70,39.312,41.6052,36.12039302083334
71,41.97375,41.6052,36.12039302083334
72,53.14625,51.2628125,36.12039302083334
73,52.07,51.2628125,36.12039302083334
74,49.96875,51.2628125,36.12039302083334
75,49.86625,51.2628125,36.12039302083334
76,50.8684,52.6419625,36.12039302083334
77,55.0724,52.6419625,36.12039302083334
78,51.6041,52.6419625,36.12039302083334
79,53.02295,52.6419625,36.12039302083334
80,48.90585,48.286474999999996,36.12039302083334
81,47.12205,48.286474999999996,36.12039302083334
82,47.91485,48.286474999999996,36.12039302083334
83,49.20315,48.286474999999996,36.12039302083334
84,46.24326,44.861355,36.12039302083334
85,43.45698,44.861355,36.12039302083334
86,43.32216,44.861355,36.12039302083334
87,46.42302,44.861355,36.12039302083334
88,36.86384,38.66488,36.12039302083334
89,38.93312,38.66488,36.12039302083334
90,39.278,38.66488,36.12039302083334
91,39.584559999999996,38.66488,36.12039302083334
92,35.71308,34.225035000000005,36.12039302083334
93,33.84642,34.225035000000005,36.12039302083334
94,33.459,34.225035000000005,36.12039302083334
95,33.881640000000004,34.225035000000005,36.12039302083334
96,29.99281,30.468762500000004,39.346743333333336
97,31.58452,30.468762500000004,39.346743333333336
98,29.711920000000003,30.468762500000004,39.346743333333336
99,30.5858,30.468762500000004,39.346743333333336
100,26.858970000000003,26.740125000000003,39.346743333333336
101,26.75333,26.740125000000003,39.346743333333336
102,26.832559999999997,26.740125000000003,39.346743333333336
103,26.51564,26.740125000000003,39.346743333333336
104,25.2306,25.721850000000003,39.346743333333336
105,25.7022,25.721850000000003,39.346743333333336
106,25.8594,25.721850000000003,39.346743333333336
107,26.0952,25.721850000000003,39.346743333333336
108,27.445,27.857499999999998,39.346743333333336
109,27.9125,27.857499999999998,39.346743333333336
110,27.8025,27.857499999999998,39.346743333333336
111,28.27,27.857499999999998,39.346743333333336
112,23.410999999999998,22.86284,39.346743333333336
113,21.90356,22.86284,39.346743333333336
114,22.794320000000003,22.86284,39.346743333333336
115,23.34248,22.86284,39.346743333333336
116,26.7264,25.884675,39.346743333333336
117,26.2044,25.884675,39.346743333333336
118,25.2648,25.884675,39.346743333333336
119,25.3431,25.884675,39.346743333333336
120,27.30585,27.455285000000003,39.346743333333336
121,27.7134,27.455285000000003,39.346743333333336
122,26.409240000000004,27.455285000000003,39.346743333333336
123,28.39265,27.455285000000003,39.346743333333336
124,33.23001,33.0216975,39.346743333333336
125,32.86338,33.0216975,39.346743333333336
126,33.52998,33.0216975,39.346743333333336
