t,average_battery_percentage,total_current_power_demand,total_VTG_capacity,mean_charging
0,100.0,,,
1,95.54312014971933,154547.42920652026,10700.698295781569,0.5633976946292862
2,95.63397694629286,10586.621617932631,114.07667784893832,0.06436129595287444
3,95.63397694629286,0.0,114.07667784893832,0.0
4,95.63397694629286,0.0,114.07667784893832,0.0
5,95.63397694629286,0.0,114.07667784893832,0.0
6,95.63397694629286,0.0,114.07667784893832,0.0
7,95.63397694629286,0.0,114.07667784893832,0.0
8,95.63397694629286,0.0,114.07667784893832,0.0
9,95.63397694629286,0.0,114.07667784893832,0.0
10,95.63397694629286,0.0,114.07667784893832,0.0
11,95.63397694629286,0.0,114.07667784893832,0.0
12,95.63397694629286,0.0,114.07667784893832,0.0
13,95.63397694629286,0.0,114.07667784893832,0.0
14,95.63397694629286,0.0,114.07667784893832,0.0
15,95.63397694629286,0.0,114.07667784893832,0.0
16,95.63397694629286,0.0,114.07667784893832,0.0
17,95.63397694629286,0.0,114.07667784893832,0.0
18,95.63397694629286,0.0,114.07667784893832,0.0
19,95.63397694629286,0.0,114.07667784893832,0.0
20,95.63397694629286,0.0,114.07667784893832,0.0
21,95.63397694629286,0.0,114.07667784893832,0.0
22,95.63397694629286,0.0,114.07667784893832,0.0
23,95.63397694629286,0.0,114.07667784893832,0.0
24,95.63397694629286,0.0,114.07667784893832,0.0
25,95.63397694629286,0.0,114.07667784893832,0.0
26,95.63397694629286,0.0,114.07667784893832,0.0
27,95.63397694629286,0.0,114.07667784893832,0.0
28,95.63397694629286,0.0,114.07667784893832,0.0
29,95.6285089319106,0.0,114.07667784893832,0.0
30,95.59999127206032,91.73375220410337,132.4863715624635,0.00036362314097669173
31,95.52948853440861,712.5841847690349,284.83487797334647,0.0026180866150321805
32,95.41259731152381,1830.8235710759918,717.4876375080964,0.006654303479873459
33,95.2306051051066,3080.806379976444,1417.4012552882898,0.011054143485691429
34,94.99281492530946,4989.07768083697,2699.4690372630976,0.01810843242063925
35,94.7138474244865,6464.215462369784,4454.446173555716,0.023635504163484963
36,94.38600540348743,8329.165223561979,6900.539759721735,0.030217083015163085
37,94.01650341008681,10422.92939242812,10050.870664161635,0.03807134286025963
38,93.58392177068298,12125.988942010328,13664.39972251848,0.04487109559652376
39,93.11729940093402,14284.23228365948,18192.274238135185,0.052616268499327296
40,92.58628300408093,15867.041078277582,22908.58231276291,0.05832515181266136
41,92.05416359296986,18042.4922832968,28629.849221941524,0.06661575942692993
42,91.67501129355486,19891.576144216673,35192.92815624774,0.07341551216319407
43,91.55297589887043,16952.697643239626,41083.825755208665,0.06236136867750264
44,91.57844035205407,10987.101622090697,45698.93195312839,0.04094396567397549
45,91.5920507722011,5614.46548212869,48513.09045261832,0.02203556234318752
46,91.62435697849935,4056.782147331879,50892.566534453596,0.015817606632486093
47,91.67411191321793,3565.986495119593,52770.42162644282,0.014072215555797971
48,91.74254329949865,3206.6902951098887,54005.921173280614,0.012690447620086542
49,91.80651745725673,2680.865467254811,54692.0596966404,0.010654158030617068
50,91.8742335271372,2594.6582775194065,55512.1688317637,0.010072361005054362
51,91.92354775966993,2626.914874758048,55736.29744490668,0.010254172575542708
52,91.95854320657811,2430.0368034386556,55880.06256080009,0.009599650921784662
53,91.98101763477136,2626.076854024906,56181.35061993567,0.009817824806370678
54,92.00107138139663,3011.210961427186,56590.64177920773,0.011272317370277445
55,92.01835350875153,3597.5809318502033,56928.06021473731,0.013417693902039925
56,92.03062232233103,4132.430199932856,57236.95148126229,0.015563070433802407
57,92.00273841489093,4163.127713225334,57353.19926351412,0.015635795061997745
58,91.9898507834478,5658.616396008014,58246.86184797356,0.021017417548452783
59,91.98017557953283,6692.3135467725315,59192.169434100535,0.024799098214610377
60,91.93931582518998,7200.791054271629,59447.795808176066,0.026617213919493836
61,91.90536199393588,8332.887503655942,60565.824868116775,0.03141703938038617
62,91.86456717128318,9424.569938653967,61229.24631904693,0.03501690847605542
63,91.82765541767917,10353.968297476467,62611.21228741279,0.038980400712701355
64,91.80081579529997,11848.783629993573,64131.309818146474,0.04436202319915639
65,91.76505701435818,12329.860687525832,65392.327242265805,0.045671066506672485
66,91.72728183414527,12635.040616206068,66969.81486934752,0.04716192138467692
67,91.72020397500044,13192.301366635053,68639.41905795956,0.049198210974146395
68,91.68437257691481,13403.198390173451,69856.10913759717,0.04981637031380677
69,91.64336683839016,12588.968269697492,71189.82414673854,0.04679829824370023
70,91.5980775735403,12301.883552301253,72561.17342885098,0.04668921130140722
71,91.60169242261188,12429.894064570533,74854.01302798979,0.04618013890403985
72,91.61430629490121,11371.606718696312,76430.96489081833,0.042543907494272934
73,91.63884499225864,10093.13225469963,78148.57253430197,0.03788953128977128
74,91.655482998606,8289.287394942381,79275.60822621231,0.031017053925311806
75,91.69433392068373,6952.084101184062,80441.28535436718,0.025853605323442785
76,91.71839318509613,5464.13611268961,81431.982555264,0.020471982836987746
77,91.74614123060283,4346.02063986522,82002.18441620188,0.016508490600341805
78,91.77048592526585,3424.103255356598,82706.93530649414,0.012981346132867895
79,91.78438556568007,2887.1825517670004,83224.86524154784,0.010981418857496091
80,91.78201319527979,2237.7561900783166,83409.96469326687,0.008472419184756918
81,91.78304550437274,1999.638623228198,83981.6681693749,0.007745172902803534
82,91.78501641910741,1760.2989757061118,84497.58771799141,0.007127013563143159
83,91.80857346925838,1788.854941928168,85221.55917965586,0.006981564306752482
84,91.84436976448556,1858.986521269108,85827.27407892488,0.007563361332315189
85,91.88582275239995,1833.7367831273373,86255.09097635625,0.007454274390022181
86,91.92524364667703,1656.682547179502,86658.72918743305,0.00705428893494782
87,92.00609194074488,2147.8130428271934,88000.5096581203,0.009417839351296316
88,92.0671919024679,1764.9305027108082,87949.99034061359,0.007636085960510527
89,92.12656541337995,1656.2034668399615,88494.38995657148,0.00749063670411985
90,92.21202140120897,1992.452170498712,89386.39811574116,0.008836042325733609
91,92.29937035458634,2010.35879415833,89759.11219894112,0.008945129268026618
92,92.37206969095344,1720.9566734091277,89638.47501765139,0.007672448274608196
93,92.4608542360361,1918.3421142217449,90058.98080744511,0.008472419184756918
94,92.52976982038437,1650.2498409584593,89839.23140861637,0.007163375877240827
95,92.5822022580504,1455.9893232917425,89897.99782623924,0.006072506454310752
96,92.60200428810434,554.1288763114707,89040.5068677369,0.0021453765317624813
97,92.61388725154849,398.5457257046878,88910.23375732492,0.0015999418202974438
98,92.62427018132045,362.72883329061784,88952.99216186485,0.0014181302498090978
99,92.6371275578053,345.454814897399,89016.71510188235,0.0013090433075160903
100,92.64847824898617,302.8743047488297,89000.98417585502,0.0010908694229300752
101,92.65584239399217,259.76822795110866,89026.79710309574,0.001018144794734737
102,92.66275694288038,245.10754128737688,89127.23305547002,0.0009454201665393986
103,92.67156619861835,270.7623338481991,89167.40452198866,0.0009817824806370677
104,92.68170598754853,256.0132691510801,89262.24830487727,0.0009090578524417294
105,92.69055516458714,227.94101229978628,89218.94156322698,0.0008363332242463911
106,92.6947020372123,138.39869200817617,89148.84802150623,0.0005454347114650376
107,92.69695377534359,115.57925641094945,89108.42697061243,0.0004363477691720301
108,92.69757795676082,66.05983962057458,89086.00496403978,0.00025453619868368423
109,92.69994441612265,89.50900742658706,89144.3001398113,0.0002908985127813534
110,92.7035130260988,99.04133914493764,89187.70543284455,0.00036362314097669173
111,92.71002824394054,139.78754336693365,89265.93910791108,0.0005090723973673685
112,92.71337434681826,106.6974914363831,89180.11694353243,0.00039998545507436095
113,92.71643799015919,78.06328658409643,89189.91332472506,0.00032726082687902256
114,92.72252772695559,117.31446438040247,89264.89783064187,0.0004727100832696993
115,92.72774665646806,122.4266603059186,89233.81433756658,0.0005090723973673685
116,92.73144354682442,86.81635899977115,89214.58374440289,0.00039998545507436095
117,92.73513561939227,79.53487751561472,89223.63750834927,0.00036362314097669173
118,92.73975248966727,91.28381926728196,89243.90443299139,0.00039998545507436095
119,92.74330212235454,70.91384045145645,89242.24220555446,0.00032726082687902256
120,92.74750163537655,88.22551825641673,89269.61268137128,0.00039998545507436095
121,92.75289751790011,92.9406154079753,89314.42239410513,0.0004363477691720301
122,92.76131115560884,135.96302642709603,89381.5162309538,0.0005090723973673685
123,92.77487310822472,196.79154345612798,89434.41125842255,0.0007999709101487219
124,92.7838129723803,166.9629488777157,89317.80210201968,0.0006545216537580451
125,92.78700797233425,149.3901876196025,88951.91706699715,0.000618159339660376
126,92.76538589327001,152.02709564925377,87724.556635032,0.0006545216537580451
127,92.70032806546037,702.7485918347742,85430.08430839384,0.002545361986836842
128,92.58503753899073,1901.717808546559,82354.807569553,0.007090651249045489
129,92.41186189137252,3166.7797773057364,78484.22226997773,0.011854114395840151
130,92.19301435121508,5291.978580887079,73956.76851232961,0.01898112795898331
131,91.8963590321909,6628.452383768486,68899.18609406413,0.023926402676266317
132,91.57246201348326,8321.547088917276,63610.496610805836,0.030726155412530452
133,91.21137646431211,10712.91361428499,57983.58373583406,0.038871313770408346
134,90.8023136898114,12288.965698590371,51652.729998057075,0.04461655939784008
135,90.32870299540004,13971.88481283794,44840.10073825364,0.05159812370459256
136,89.81727628871556,15747.10681976053,38488.52134696928,0.05861605032544271
137,89.29766996177324,18662.14787373194,33780.06538201862,0.06934293298425512
138,88.94711830386692,20224.03987104138,35926.932686424225,0.07428820770153813
139,88.83767687160034,16777.777580096936,41374.07103222041,0.06170684702374459
140,88.88566577410623,11389.54231422177,46417.96132773429,0.042434820551979925
141,88.97509690684399,6418.015146342773,49845.19608549638,0.02469001127231737
142,89.05209166871836,4690.638741528857,52008.981957116426,0.018581142503908948
143,89.13541980010527,3810.778988720387,53411.40290123856,0.015199447292825715
144,89.22364136123058,3388.748274405976,54368.85516302712,0.013163157703356241
145,89.30630899204331,3143.0006695180045,55304.91056823887,0.012508636049598197
146,89.40099301528495,3084.9424075452525,56265.093835629596,0.01192683902403549
147,89.48028954533557,2978.340202626464,56394.88974217766,0.011708665139449475
148,89.52304887616323,2560.7164819119957,55963.631258077585,0.010072361005054362
149,89.54463104983687,2565.886768222632,55625.6185066417,0.009708737864077669
150,89.5640738633993,3067.3853235379615,55735.45925278563,0.011526853568961128
151,89.55118828489613,3013.2709141606924,55226.6468257959,0.011272317370277445
152,89.53271239073675,3506.451335390099,55154.121826569986,0.013199520017453911
153,89.48715213935677,3905.1445191321072,54513.07027001675,0.014035853241700301
154,89.40309230257743,4091.0607070500496,53873.89548085755,0.014872186465946693
155,89.31145363473422,4790.150107971705,53212.70961595827,0.017781171593760227
156,89.18668395044251,5183.0110840461875,52432.09491204959,0.019235664157666994
157,89.04818543817898,6125.678864323824,51539.802070860795,0.02250827242645722
158,88.90424699883496,7125.183876428802,50949.102193688435,0.02687175011817752
159,88.729823302528,7778.989817298929,49923.662930279694,0.02828988036798662
160,88.53739285745259,8474.339628519281,49217.804167192444,0.03087160466892113
161,88.37770936746809,9359.35573420943,49253.533671586076,0.0347987345914694
162,88.1820730168995,9087.719739144746,48489.22625075138,0.03352605359805098
163,87.98336585008788,9269.42209388165,48150.85234294674,0.0343260245081997
164,87.79426510075157,10213.788224166798,47745.56229149312,0.0377440820333806
165,87.60451720186333,9723.785692236464,47400.51327622628,0.03599869095669248
166,87.43396814596069,9584.469106202796,47354.463629973594,0.035562343187520454
167,87.28700034793167,8752.907204237414,47648.45894409628,0.031926111777753535
168,87.15119217082763,8292.173336356147,48023.30425648848,0.030762517726628122
169,87.05273215701193,7301.880811166673,48587.48426485567,0.027053561688665868
170,86.95941680956415,5860.976435707221,49266.09842186166,0.02207192465728519
171,86.9143210074982,5111.643975712412,49872.67381089887,0.019308388785862333
172,86.86522610796194,3996.811607822984,50499.051876050864,0.015381258863314061
173,86.82184924500383,3076.441842005986,51088.42917313458,0.012254099850914512
174,86.7712921236622,2379.9828356293165,51569.92356972763,0.009490563979491655
175,86.77276176327467,2367.857741241671,52398.70295987086,0.009236027780807971
176,86.76395983260088,2037.2780075335197,52819.58208494873,0.007926984473291881
177,86.76709121368299,2011.2577241129297,53212.27516023305,0.007672448274608196
178,86.76667975644105,1642.642036333675,53781.708401174415,0.006399767281189775
179,86.77541402938196,1663.866377173802,54068.05897249535,0.00661794116577579
180,86.78470441390756,1482.3628364251078,54423.39571972734,0.005927057197920076
181,86.80223343914867,1349.7493578006176,54821.59482509826,0.005527071742845714
182,86.81643003663385,1284.4297666240898,55013.0997798689,0.005272535544162031
183,86.83825084532269,1245.6245982221633,55239.724493370115,0.004872550089087669
184,86.86098650739947,1174.8985977639445,55349.85380867398,0.004436202319915639
185,86.88465004908886,1006.5665057622772,55522.803957044714,0.003890767608450602
186,86.91084481933963,977.2373842551287,55673.2106812151,0.0037816806661575943
187,86.93083743399352,861.6788237308704,55691.72062831346,0.0034180575251809026
188,86.9446575078527,618.9613518999345,55672.042890835575,0.002545361986836842
189,86.95902867012504,563.8895780373047,55706.88457259996,0.002290825788153158
190,86.97560000244962,588.1004535349894,55838.38466869768,0.0023635504163484963
191,86.98731408776942,500.1620052017879,55844.36753427896,0.002036289589469474
192,86.9987850809035,428.1737177805774,55893.09765945837,0.0017090287625904513
193,87.0141093339398,479.9559798016958,56026.15156782154,0.0019272026471764663
194,87.03051250229647,434.7704679830591,56076.96027921419,0.0018181157048834588
195,87.04552491172599,428.3727863012166,56009.4911567613,0.0015999418202974438
196,87.0571585823765,334.34100804464765,56057.64263955581,0.0014181302498090978
197,88.61235417838076,37184.25354964964,113047.10686555556,0.13504963455874333
198,88.96556559507026,9091.15980284606,86249.84928918217,0.037162285007817895
199,89.10623814947303,3103.701716759586,80545.25676203343,0.01323588233155158
200,89.18077454511281,1263.3172214595775,78737.7119319966,0.005599796371041053
201,89.23178032895997,849.6507446432696,78400.8908091567,0.003745318352059925
202,89.2973542703584,1237.955663479741,78785.33721039661,0.005490709428748046
203,89.3348322353767,793.6078503490808,78354.31049761732,0.003708956037962256
204,89.37663012927703,868.8867121844281,78476.75729944847,0.004036216864841279
205,89.39750577012246,593.5289513657132,78234.61208687935,0.0025817243009345113
206,89.40426738728031,178.02878870005702,77802.96621038648,0.0006908839678557143
207,89.40983104506326,122.38553241843466,77794.49517688551,0.0004727100832696993
208,89.41453032438096,114.26545320011063,77789.4719159986,0.0004363477691720301
209,89.41763507373967,72.05197640944216,77775.55549142651,0.0002908985127813534
210,89.4206889244638,92.79457706308892,77778.39157265729,0.00039998545507436095
211,89.42358340590373,60.99576602328021,77799.38855195473,0.00025453619868368423
212,89.42765019523492,78.42652665542417,77815.67699136151,0.00032726082687902256
213,89.43052339585451,61.75484767882371,77796.1354845818,0.00025453619868368423
214,89.4327240744481,41.59561688950661,77796.1354845818,0.00018181157048834587
215,89.4344094090646,41.59561688950661,77777.08282424996,0.00018181157048834587
216,89.43600279863955,29.301432305864424,77770.20957886663,0.0001454492563906767
217,89.43703398469748,18.647266243249774,77771.7030121549,0.00010908694229300753
218,89.43899723958387,31.017048963029872,77791.2990029064,0.00018181157048834587
219,89.44061552714625,32.15823676259315,77779.04821269619,0.00018181157048834587
220,89.44176176322831,19.128258467984423,77724.71992503564,0.00010908694229300753
221,89.43837644208507,25.381642193063843,77436.70637402411,0.0001454492563906767
222,89.41328190890894,158.87734854105503,76452.8878703057,0.0006545216537580451
223,89.34089789870181,585.404740722507,74481.48833874289,0.0022181011599578197
224,89.22396329228778,1848.2582701358506,71947.7765499088,0.006727028108068797
225,89.05121938309442,3211.067739282762,68869.33382052803,0.011708665139449475
226,88.8262683557832,5020.044975064581,65092.940961953216,0.018253881677029925
227,88.55298614213991,6835.245901465382,61238.1271889728,0.025017272099196394
228,88.23574161987422,8859.920276461167,56948.257423897194,0.03178066252136286
229,87.87543312641348,10012.206079440082,52431.91570736235,0.036871386495036546
230,87.47189218572821,12431.600604967189,47673.559515423025,0.045961965019453835
231,87.02633427774755,14579.466304904856,42258.69387545891,0.05345260172357369
232,86.53674986339928,16684.7564986958,37139.49534423681,0.061197774626377224
233,86.03617513779227,18283.267073976156,33544.470207672195,0.06832478818952038
234,85.70205068536247,20326.160939000507,36432.666329150896,0.07476091778480783
235,85.62338888720635,17498.689862009163,42221.69175716311,0.0648703683502418
236,85.71561700411071,11980.70343003526,46943.597123215644,0.04454383476964474
237,85.88017932749077,7568.563702493588,51454.40156079316,0.02868986582306098
238,85.9933496765909,5114.617687048403,53029.78984543256,0.020362895894694737
239,86.09837014213963,4159.490637380075,54027.78445961888,0.01643576597214647
240,86.20488900033934,3811.6889619743433,55161.5052594358,0.015053998036435038
241,86.30370188161594,3407.7460911822805,55950.98980128533,0.013635867786625941
242,86.39134393476515,3105.7969275372147,56166.6183371136,0.01236318679320752
243,86.47260591771423,2871.726478072741,56474.76758693984,0.011090505799789098
244,86.52401392890711,2664.3954090799402,56054.561926706796,0.010326897203738045
245,86.5388082293826,2527.7347278868883,55537.02779840846,0.009672375549980001
246,86.54021024190189,2665.7741598325,55413.446443265086,0.010181447947347369
247,86.52699340914279,3179.576603049965,55138.87408793038,0.011854114395840151
248,86.49880986210452,3426.358006167299,54867.778035525786,0.012835896876477218
249,86.44790225095494,3684.9138528964604,54314.32545426565,0.013563143158430602
250,86.37281869209559,4472.953515375333,53723.40704471816,0.016653939856732483
251,86.27999303653455,4872.785340346607,53353.433469331474,0.017890258536053236
252,86.17350911844632,5596.402185287423,52674.05390386191,0.02065379440747609
253,86.04623411648332,6092.522716630271,51931.0952596244,0.022181011599578197
254,85.90185251578707,6969.832812165594,51052.21972290991,0.025853605323442785
255,85.73095125536881,7571.890291644072,50181.41092403431,0.028108068797498272
