t,current_power_demand,current_vtg_capacity
0,,
1,338.76146854053417,0.3561066895517343
2,25.283574958173133,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,14.356259194478234,0.06075517205940579
32,43.88572838394664,0.20686377300238515
33,92.34198868032382,0.5085947654818469
34,104.66395582192736,0.7364412462243106
35,154.8031127662673,0.9761901894410921
36,208.18825430925003,1.2500077494474495
37,295.26597130213815,1.4967569436963677
38,325.7683220222377,1.8012990290790811
39,269.25622098700126,1.9307235172812665
40,447.7364259992981,2.2874604987447102
41,626.8840197422902,2.3225384183749034
42,533.6330171138366,2.4218954156367283
43,371.3133887894988,2.3920419665009187
44,373.8437487111238,2.4706426815502014
45,229.72468598817096,2.5840411942392176
46,185.70976231407386,2.56012111461501
47,179.45064623700472,2.690926494903977
48,175.89407699930035,2.788385026679039
49,161.26465266072088,2.755968975777803
50,118.9453380624199,2.801743404500727
51,106.20637611478045,2.7789098179065266
52,96.14038137558522,2.8068920030350033
53,123.88400075963199,2.9333552907928357
54,119.53658489236398,2.952524015915204
55,101.57609997663468,2.9408670860364694
56,72.64916662940105,2.9346605513700927
57,73.24405772998382,2.9394700297661807
58,50.64492157095219,2.926260640684589
59,46.59578114452928,2.936845975433769
60,20.432073026548597,2.986997200180552
61,20.432073026548597,3.0974874242638384
62,42.18462135021864,3.099395487695297
63,41.659049105352324,3.1670063948081837
64,76.73989246795699,3.301894197950368
65,38.295302628029816,3.2771451627484547
66,6.232937659763761,3.4037171695375563
67,37.73903007086851,3.4819920499849606
68,23.94639102503043,3.7026005251651224
69,62.53331081348768,3.898263481296434
70,83.38922750925664,4.260616274540909
71,27.768171232908813,4.292132464487303
72,16.348232385083108,4.544554664552146
73,32.57731973087448,4.724019810728729
74,31.18114363513101,4.949576183379981
75,18.517814117431247,4.833513891567279
76,5.45649003716373,4.450132752435534
77,0.0,4.206647046869581
78,0.0,4.212892972576865
79,0.0,4.098442801331386
80,0.0,4.132813025760607
81,0.0,4.00499874089021
82,0.0,3.91940477294317
83,0.0,3.8546995229351255
84,6.879288060406589,3.9218525841269694
85,6.879288060406589,3.9218525841269694
86,21.073207043328082,4.049777872583827
87,14.193918982921494,3.757785891030502
88,0.0,3.757785891030502
89,0.0,3.757785891030502
90,10.398002861329132,3.978050304196581
91,10.398002861329132,3.8315995596708183
92,0.0,3.8315995596708183
93,0.0,3.8315995596708183
94,0.0,3.8315995596708183
95,0.0,3.8315995596708183
96,0.0,3.8315995596708183
97,0.0,3.8315995596708183
98,0.0,3.8315995596708183
99,0.0,3.8315995596708183
100,0.0,3.8315995596708183
101,0.0,3.8315995596708183
102,0.0,3.8315995596708183
103,0.0,3.8315995596708183
104,0.0,3.8315995596708183
105,0.0,3.8315995596708183
106,0.0,3.8315995596708183
107,0.0,3.8315995596708183
108,0.0,3.8315995596708183
109,0.0,3.8315995596708183
110,0.0,3.8315995596708183
111,0.0,3.8315995596708183
112,0.0,3.8315995596708183
113,0.0,3.8315995596708183
114,0.0,3.8315995596708183
115,0.0,3.8315995596708183
116,0.0,3.8315995596708183
117,0.0,3.8315995596708183
118,0.0,3.8315995596708183
119,0.0,3.8315995596708183
120,0.0,3.8315995596708183
121,0.0,3.8315995596708183
122,0.0,3.8315995596708183
123,0.0,3.8315995596708183
124,0.0,3.8315995596708183
125,0.0,3.8030106183552577
126,0.0,3.7591166911738223
127,14.356259194478234,3.819215056009816
128,74.30486500485353,3.51709230022533
129,84.46163947265345,3.4457988935974617
130,121.57365517151145,3.0591779568538024
131,138.36320354615125,2.585392084549492
132,175.8117108853049,2.406561131118616
133,192.1661407734744,2.256541754969198
134,412.2619532595547,2.336596159473211
135,357.710727365996,2.4480909885917916
136,480.7872878828934,2.40349203357602
137,555.2683463703122,2.342472287541124
138,528.0715471069944,2.4356188778076358
139,457.8883043991068,2.457604601459583
140,340.1178697061736,2.5092946941587986
141,222.2054092009275,2.5588795947438427
142,208.49556343186097,2.6601231414959576
143,235.48252433090084,2.742265660832248
144,144.93825481092517,2.759537336917442
145,114.41136016413465,2.716541682230082
146,164.5366779405193,2.8460109886781657
147,168.04202652191213,2.884647139882736
148,141.1283715895898,2.881243369522813
149,138.5328888639045,2.949023231895895
150,114.70320295953798,2.9926989966415083
151,145.93084955986137,3.0464877516870787
152,113.00402355957209,3.0726012578330737
153,91.38551601250713,3.003236396255215
154,53.75739875260603,2.959835643280992
155,72.68751924170394,3.0591401576707407
156,44.12384539179823,2.9928646332887876
157,65.45766860252527,3.0302853993561385
158,29.933672558885448,3.0563851505831945
159,5.460592704042978,3.0058143772020824
160,5.623611247798747,3.0448797098895457
161,10.65501072611223,3.2090441298791195
162,11.487669946212597,3.241175929917775
163,17.927436299778805,3.3169405311476314
164,20.679096226343255,3.324351457411579
165,34.48657927262806,3.462503091383757
166,23.627296880128704,3.6587765809543797
167,13.336888766064657,3.7612865538829396
168,29.392895416448646,3.7842192426404955
169,7.145816135369291,3.8294724407883525
170,13.986228302235354,3.8066624880049953
171,29.10695820412154,3.7129981985892013
172,5.45649003716373,3.41822257092719
173,0.0,3.225110761120338
174,0.0,2.797158300578322
175,0.0,2.8289441903576207
176,0.0,2.71509222991427
177,0.0,2.7092799590587227
178,0.0,2.4995526706552367
179,6.879288060406589,2.4753664846438337
180,6.879288060406589,2.5097465747083314
181,6.879288060406589,2.0903806395027207
182,0.0,2.0903806395027207
183,14.193918982921494,2.4158899054289797
184,14.193918982921494,2.2131196342443866
185,0.0,2.2131196342443866
186,0.0,2.2131196342443866
187,10.398002861329132,2.4551399101821016
188,10.398002861329132,2.308689165656339
189,0.0,2.308689165656339
190,0.0,2.308689165656339
191,147.68012728985454,5.447506947986829
192,0.0,3.3675051551719775
193,0.0,3.3675051551719775
194,0.0,3.3675051551719775
195,0.0,3.3675051551719775
196,0.0,3.3675051551719775
197,0.0,3.3675051551719775
198,0.0,3.3675051551719775
199,0.0,3.3675051551719775
200,0.0,3.3675051551719775
201,0.0,3.3675051551719775
202,0.0,3.3675051551719775
203,0.0,3.3675051551719775
204,0.0,3.3675051551719775
205,0.0,3.3675051551719775
206,0.0,3.3675051551719775
207,33.92707061474965,3.902191639254049
208,0.0,3.4243455742575755
209,0.0,3.4243455742575755
210,0.0,3.4243455742575755
211,0.0,3.4243455742575755
212,0.0,3.4243455742575755
213,0.0,3.4243455742575755
214,0.0,3.4243455742575755
215,0.0,3.4243455742575755
216,0.0,3.4243455742575755
217,0.0,3.4243455742575755
218,0.0,3.4243455742575755
219,0.0,3.4243455742575755
220,0.0,3.4243455742575755
221,0.0,3.3957566329420135
222,6.596353325584067,3.3342160954973163
223,0.0,3.375120938271345
224,53.24333053831616,3.278966995591895
225,101.53960457079025,3.1165112448194763
226,78.3471291055511,2.647773675339722
227,166.91395741346292,2.3555277581128076
228,209.36226662667815,2.6270746150636426
229,303.4043280816258,2.4368776782936243
230,327.29819965898275,2.1562381122879892
231,297.00791403557196,2.2663898173639443
232,479.26894320155225,2.411568961097841
233,618.9604238520104,2.5513571851186843
234,514.5469010317166,2.476926154758187
235,457.3642396780916,2.463095979962746
236,383.10761383317424,2.5198547808480147
237,277.9013271178064,2.660325067974919
238,260.70887050775116,2.783090122846456
239,232.04877800009973,2.827627916214092
240,120.35193987978545,2.691949486876189
241,137.5953356095522,2.812934540347737
242,145.51356804063963,2.7582824050043824
243,170.46305975721688,2.893230654986589
244,200.01159012854086,2.978788709780372
245,124.5915059580359,2.927714634469481
246,104.46834305323034,2.9879182016069294
247,104.84724812402973,2.9815151961915447
248,115.65260857025027,3.0098611091111773
249,80.29253958574569,2.9585099833713175
250,81.23597279488487,2.970001723775766
251,108.92470152113158,3.1496997234598907
252,58.78150914137865,3.01865835524816
253,33.13782633230595,2.9585925659214007
254,13.8555299212811,2.982728096029109
255,11.499155999723804,2.9921170756676245
256,26.804853263612983,3.0119193804754585
257,0.0,3.0772018168049824
258,34.22525429499745,3.1134633555416054
259,21.52335724184207,3.266829180510053
260,50.063989678384935,3.3367271994250722
261,7.421380821166432,3.511329375322406
262,27.869575500532918,3.5277666832441765
263,21.625591451191937,3.5917678921314105
264,0.0,3.8093743587586015
265,11.970810637134985,3.8574073461145435
266,20.15680599749762,3.7677144730017367
267,13.061324080267516,3.352720420450554
268,29.10695820412154,3.275712303873316
269,5.45649003716373,3.0357505361502106
270,0.0,2.8135976040560564
271,0.0,2.7849769901965575
272,0.0,2.633542130211873
273,0.0,2.5456448659604387
274,0.0,2.3676337802956
275,0.0,2.2004916256412272
276,6.879288060406589,2.1598461396541633
277,6.879288060406589,1.9518148329843439
278,6.879288060406589,1.8521150060219296
279,0.0,1.8521150060219296
280,0.0,1.8521150060219296
281,14.193918982921494,2.1810280667121997
282,14.193918982921494,1.978257795527607
283,10.398002861329132,2.223585984686685
284,10.398002861329132,2.0771352401609224
285,0.0,2.0771352401609224
286,0.0,2.0771352401609224
287,0.0,2.0771352401609224
288,0.0,2.0771352401609224
289,0.0,2.0771352401609224
290,0.0,2.0771352401609224
291,0.0,2.0771352401609224
292,0.0,2.0771352401609224
293,0.0,2.0771352401609224
294,0.0,2.0771352401609224
295,0.0,2.0771352401609224
296,0.0,2.0771352401609224
297,0.0,2.0771352401609224
298,0.0,2.0771352401609224
299,0.0,2.0771352401609224
300,0.0,2.0771352401609224
301,0.0,2.0771352401609224
302,0.0,2.0771352401609224
303,147.6801272898545,5.433432054632702
304,50.36739932492425,4.133745564749465
305,0.0,3.4243455742575755
306,0.0,3.4243455742575755
307,0.0,3.4243455742575755
308,0.0,3.4243455742575755
309,0.0,3.4243455742575755
310,0.0,3.4243455742575755
311,0.0,3.4243455742575755
312,0.0,3.4243455742575755
313,0.0,3.4243455742575755
314,0.0,3.4243455742575755
315,0.0,3.4243455742575755
316,0.0,3.4243455742575755
317,0.0,3.4243455742575755
318,0.0,3.4634273057908165
319,6.596353325584067,3.430101263385935
320,33.50560627714333,3.2610917710859813
321,137.51064364460785,2.965085182790997
322,82.04637692064792,2.8093039110363374
323,161.70401687548213,2.4560715453827107
324,251.04584436270576,2.5057779420309823
325,195.02072309994708,2.153403108281347
326,316.6008894757672,2.3653014932112733
327,399.98827779782033,2.377187760015505
328,521.2621309982042,2.5984480003332333
329,569.1135701376742,2.5354576848468895
330,456.8513835805927,2.4604892010051866
331,543.0995139297827,2.5102789272579344
332,385.5431143444491,2.5729075984575607
333,315.7296991890767,2.772206268294626
334,189.3856080044729,2.632210869204275
335,217.41911614188223,2.8937974617251974
336,189.86641306379954,2.8217965357686636
337,178.34717813363216,2.8061108014910596
338,147.11306879655726,2.824629868388952
339,158.94564424973697,2.8947627103807574
340,147.89284164663934,2.887870382383183
341,143.51904347598003,3.0059392706657637
342,140.9919311055572,2.967950068066447
343,121.09994435092841,3.0411207890258325
344,104.75361546903335,2.9529424118518013
345,56.586821134829265,2.927071142078205
346,47.07363740239069,2.9436865403442654
347,175.57121696422564,3.284710757178157
348,53.095609366926766,3.0112399761539663
349,20.212660214176843,2.9500143464663497
350,13.8555299212811,3.0186672435476236
351,13.222361094559279,2.990192365953947
352,39.722771581824006,3.0111868904348067
353,15.356475386863801,3.070306919491622
354,11.192143489824755,3.141249623661037
355,33.32763391936557,3.338467953405097
