t,average_battery_percentage,total_current_power_demand,total_VTG_capacity,mean_charging
0,100.0,,,
1,95.5740162007479,127094.62323567492,8949.57023383905,0.5666222222222222
2,95.66622222222222,8864.181513517035,85.38872032201525,0.06582222222222223
3,95.66622222222222,0.0,85.38872032201525,0.0
4,95.66622222222222,0.0,85.38872032201525,0.0
5,95.66622222222222,0.0,85.38872032201525,0.0
6,95.66622222222222,0.0,85.38872032201525,0.0
7,95.66622222222222,0.0,85.38872032201525,0.0
8,95.66622222222222,0.0,85.38872032201525,0.0
9,95.66622222222222,0.0,85.38872032201525,0.0
10,95.66622222222222,0.0,85.38872032201525,0.0
11,95.66622222222222,0.0,85.38872032201525,0.0
12,95.66622222222222,0.0,85.38872032201525,0.0
13,95.66622222222222,0.0,85.38872032201525,0.0
14,95.66622222222222,0.0,85.38872032201525,0.0
15,95.66622222222222,0.0,85.38872032201525,0.0
16,95.66622222222222,0.0,85.38872032201525,0.0
17,95.66622222222222,0.0,85.38872032201525,0.0
18,95.66622222222222,0.0,85.38872032201525,0.0
19,95.66622222222222,0.0,85.38872032201525,0.0
20,95.66622222222222,0.0,85.38872032201525,0.0
21,95.66622222222222,0.0,85.38872032201525,0.0
22,95.66622222222222,0.0,85.38872032201525,0.0
23,95.66622222222222,0.0,85.38872032201525,0.0
24,95.66622222222222,0.0,85.38872032201525,0.0
25,95.66622222222222,0.0,85.38872032201525,0.0
26,95.66622222222222,0.0,85.38872032201525,0.0
27,95.66622222222222,0.0,85.38872032201525,0.0
28,95.66622222222222,0.0,85.38872032201525,0.0
29,95.66065870541824,0.0,85.38872032201525,0.0
30,95.63458641921306,128.49150342549513,109.04156568868177,0.0005333333333333334
31,95.56443086464945,586.4984303068782,231.40704644689055,0.0026666666666666666
32,95.44174216485024,1480.0438503346952,538.301170152765,0.0064444444444444445
33,95.26497860381286,2507.288786341386,1123.556639824265,0.011333333333333334
34,95.02856115104294,4107.820942603108,2141.301490454499,0.017866666666666666
35,94.75251351898838,5548.483443974306,3676.0851104611406,0.024577777777777778
36,94.40094982208198,6418.2034394526845,5462.985264194737,0.028177777777777777
37,94.0408643952001,8826.160070834329,8136.38323584235,0.0396
38,93.58601340372071,9655.645445038712,10957.229119859905,0.04404444444444444
39,93.08172196595007,11131.240410538057,14500.830389077819,0.05057777777777778
40,92.54618772291157,13232.431362147512,18648.068745592587,0.059422222222222223
41,91.96174899170693,14637.481956365125,23170.33320822902,0.0652
42,91.55522123034429,15970.083830197973,28563.957427607773,0.07177777777777777
43,91.40380306074348,13592.195893663127,33513.283790989735,0.061733333333333335
44,91.40424495009326,9145.267621853909,37763.957248729625,0.042977777777777774
45,91.42998165410543,5564.643631372457,40453.434767563616,0.02631111111111111
46,91.4578697408677,3646.4634963885774,42423.00704640386,0.01768888888888889
47,91.49586044490592,3124.0607932067583,43868.532243041525,0.015244444444444444
48,91.53021955338014,2806.479459630173,44767.17832161488,0.013422222222222223
49,91.58470504942551,2388.670019872868,45978.40345952386,0.011555555555555555
50,91.6435574684098,2417.3485408994234,46558.777943116955,0.011555555555555555
51,91.69577016248688,2447.1022109989835,46907.25805165425,0.011333333333333334
52,91.76633886175505,2595.0353552029615,47463.5823678188,0.011911111111111112
53,91.80654054878977,2539.663522921091,47560.0253094598,0.011777777777777778
54,91.8323327594931,2712.8017544281383,47712.16036543502,0.01248888888888889
55,91.84804327736133,2861.6071894961433,48004.215812504124,0.013644444444444445
56,91.87009537425816,3527.526680592865,48731.82841751605,0.01622222222222222
57,91.8817561589677,4180.010703185495,48901.628628854014,0.018355555555555556
58,91.88381365219338,4915.014319421563,49481.47614590611,0.022444444444444444
59,91.87133520774526,5444.816240953571,50263.55124957439,0.0248
60,91.85781097258868,6324.48174665507,50761.39411690435,0.028622222222222223
61,91.82199282316898,6817.936218011001,51098.168678362716,0.03186666666666667
62,91.80022376999887,8201.288491539306,52123.8324317573,0.03715555555555555
63,91.77033638184407,8651.980366443002,53332.555472391454,0.03942222222222222
64,91.7385979080829,9523.624381704942,54303.543222649496,0.043644444444444444
65,91.71597267920153,10071.800995224821,55448.548755750184,0.04591111111111111
66,91.67415948041497,10365.412460586702,56395.182814791544,0.0472
67,91.6643063321529,10693.04036583981,57464.55223083519,0.04862222222222222
68,91.64866031836581,10787.789807586065,58737.87808714387,0.04968888888888889
69,91.62247803070385,10526.492807094008,59982.845900652734,0.04755555555555555
70,91.59750150321935,10463.413041209627,61109.35735532029,0.048355555555555554
71,91.60539889476372,10175.200999106408,62803.82646548276,0.04657777777777778
72,91.60380707980075,9313.129971845825,63837.065453342526,0.043333333333333335
73,91.62443608608426,8226.359060983983,65101.108824524104,0.037866666666666667
74,91.61968482136949,6779.385346982905,65856.47182579467,0.03088888888888889
75,91.62752179835557,5526.112906824188,66760.16693595766,0.025822222222222222
76,91.62723585328733,4236.451689332897,67296.88152517423,0.019955555555555556
77,91.63595643581188,3706.7641405390095,68026.02636305917,0.01697777777777778
78,91.64485870662324,3164.402895615255,68757.59930249142,0.014222222222222223
79,91.64250788762052,2620.2599792868677,68945.59210219615,0.011866666666666666
80,91.62924574330461,2026.3384861362924,69220.77703718521,0.0096
81,91.64579986405917,2079.362749685761,70045.97286445978,0.01
82,91.65922705425403,1835.7041756829299,70354.56857125058,0.009022222222222221
83,91.67430461818988,1696.3085911094042,70725.0220760252,0.008577777777777778
84,91.69491629317545,1542.269325422426,71335.84697843617,0.007511111111111111
85,91.74167658403307,1754.8678601458391,72038.53129939045,0.008933333333333333
86,91.79179321166039,1819.8805947286369,72703.69779265046,0.009333333333333334
87,91.86129932072426,1816.7099296167019,73200.38544510011,0.00951111111111111
88,91.91410671689293,1555.1382130634606,73341.89637067226,0.008311111111111111
89,91.98303406891011,1566.8752250852813,73956.31101427099,0.008533333333333334
90,92.07889375752399,1842.715503722311,74856.65420620417,0.009777777777777778
91,92.18955946819736,2045.8335792372395,75199.00007137314,0.011155555555555556
92,92.27913369665498,1762.2149146050979,75236.98733360377,0.009244444444444444
93,92.37651978230514,1808.531101886445,75492.28020379528,0.00968888888888889
94,92.47125794621064,1793.9566415267095,75617.58324935808,0.008977777777777777
95,92.53354152680448,1611.6275084208958,75582.06093310738,0.008
96,92.5427111606054,464.06844335604774,74447.99979695791,0.002311111111111111
97,92.55611540437855,450.267633585437,74569.01354498524,0.0021777777777777776
98,92.56709893328274,447.85629649562856,74534.52317747008,0.002088888888888889
99,92.58216785899748,392.85776344291537,74647.17732177814,0.0018666666666666666
100,92.59733088604187,408.4719793972194,74762.84441841792,0.001911111111111111
101,92.6114461961439,381.8188434549467,74756.9398937446,0.0016888888888888889
102,92.62027477516423,284.384463371031,74662.45621124131,0.0013777777777777777
103,92.63033954375305,260.2204861749342,74785.0045622223,0.001288888888888889
104,92.64541537715291,294.35578154309894,74863.70825167923,0.0014666666666666667
105,92.65853768178792,238.44623484893754,74821.88667106212,0.0011555555555555555
106,92.67006292083101,210.02672273296844,74821.70074767995,0.0010222222222222223
107,92.67837749811079,208.01920508186694,74789.11920888748,0.0009777777777777777
108,92.68544683722416,145.16243606063304,74828.78711240736,0.0006666666666666666
109,92.69133877024687,144.58854524459298,74833.39798103599,0.0006666666666666666
110,92.69323556457205,112.15969915528612,74770.2585147019,0.0005333333333333334
111,92.70251445439942,167.66828753952737,74958.23460995479,0.0009333333333333333
112,92.71182683812553,169.0320858389962,74994.57713056216,0.0008888888888888889
113,92.72348480597228,187.94501422009415,75072.80200038746,0.0010222222222222223
114,92.73559628566032,196.4139502011625,75102.43952954619,0.0010666666666666667
115,92.74808668587181,206.48201815141073,75130.80977578892,0.0011555555555555555
116,92.75569743412521,124.23369469789233,75088.1511960659,0.0007111111111111111
117,92.76594911522851,164.62391308222607,75137.1089979297,0.0008888888888888889
118,92.7749450587149,151.09691804185837,75130.64060023897,0.0008444444444444444
119,92.77848643770957,74.50162471908924,75039.56008642621,0.00035555555555555557
120,92.78153386065527,65.95082344221787,75046.34318896447,0.00035555555555555557
121,92.78498556608216,59.62743912868942,75085.07361702212,0.00035555555555555557
122,92.78966861612227,78.74519119234976,75106.19986255512,0.00044444444444444447
123,92.82747068226035,484.97269154730077,75584.42857506462,0.002311111111111111
124,92.86371402482098,469.29243679260156,75458.55621485261,0.002266666666666667
125,92.88683692956862,412.7602425142568,75046.05942847907,0.0020444444444444447
126,92.87374242813576,416.70287821425006,73930.29159423422,0.002088888888888889
127,92.80526851376604,485.9129228449154,71802.24760584677,0.0021777777777777776
128,92.68618861282896,1327.0017535336933,69259.04579378241,0.006266666666666667
129,92.51707226606794,2880.7076472782555,65949.78206973459,0.01271111111111111
130,92.27471571948271,3930.4713580083276,61986.06194018447,0.01697777777777778
131,91.99201057348454,5468.062387298561,58001.409225432355,0.02431111111111111
132,91.6641018751103,6977.172460046649,53587.537202448126,0.031066666666666666
133,91.26994931371787,8194.87554583116,48226.155836816164,0.03666666666666667
134,90.84591699807108,9909.247945614461,42895.3201480747,0.04511111111111111
135,90.34701189453497,11207.101420095994,37300.69010175626,0.05031111111111111
136,89.81801713286089,13196.650066095102,31764.17253135865,0.05951111111111111
137,89.25226855480663,14841.799895020886,27697.08457036254,0.06626666666666667
138,88.89241278792068,16694.271908930787,29406.9137566142,0.07493333333333334
139,88.7365032432333,13810.519597139479,34056.81314760163,0.06373333333333334
140,88.77433767997869,9644.224605384232,38369.64038655994,0.04435555555555556
141,88.83689901902802,5718.877425217207,41234.07975617205,0.027066666666666666
142,88.88300731246173,3841.3583091849314,42997.10870094478,0.018711111111111112
143,88.93561168420543,3197.7812482794725,44288.17624661168,0.015511111111111111
144,88.99368044545203,3044.8441218326298,45385.79452906333,0.014755555555555555
