t,current_power_demand,current_vtg_capacity
0,,
1,356.4464646234813,0.6260402818185319
2,36.936376627293384,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,6.604147684015427,0.03759397661445787
32,26.719890269757617,0.14623319185015066
33,48.291582414354394,0.43552511744344746
34,153.2225426417206,0.7991407270512297
35,89.99859362600755,0.8956401158766669
36,163.45775118964303,1.225645117902716
37,247.24147017308084,1.3806675488938713
38,300.129647419066,1.61727020731653
39,308.1163190561374,1.6877096037448
40,347.89757276969175,1.794743724112207
41,295.215054874676,1.86309220823272
42,427.0272802279229,1.9730065602419156
43,475.7316378594338,2.0899563244638615
44,466.9292657631847,2.2855108595229763
45,275.8872349374644,2.2673426549828264
46,139.26904237747607,2.3374499653427567
47,170.17105463870075,2.42601329091888
48,163.26219650637944,2.5478044676861598
49,136.95405963901646,2.53928302680648
50,150.5436917333132,2.6056274346454327
51,117.34600060658401,2.582440496382489
52,131.47389128715392,2.6984589303359425
53,96.93144805017033,2.6506898403096812
54,81.81575457694787,2.656335567746208
55,74.13534423346579,2.6648703663195112
56,73.16727275569305,2.7417716098002884
57,100.96203278439346,2.7988725856418872
58,62.551622366769166,2.7244837238017916
59,39.70852003412877,2.7437250014649206
60,21.284856380788803,2.720842398770445
61,19.87725858598595,2.78180294214722
62,52.58008463658771,2.785933817427643
63,43.12519223286688,2.875611423306913
64,8.206408292597182,2.8995654080551967
65,27.62024335166006,2.962611504509092
66,0.0,2.9462037036826674
67,37.06802638474502,3.193511007908221
68,49.097117177810865,3.234931411443208
69,42.33222490596353,3.2951346413316456
70,29.537573149339877,3.547389178525686
71,41.823159614134966,3.714673467326923
72,5.646788037184546,3.9446331763428435
73,10.482473835120583,4.1073866457828885
74,18.570602680845376,4.428170440012663
75,6.640923606886986,4.18482753498723
76,7.471173963724404,3.96059275641923
77,20.501146035299723,3.920500121916804
78,22.700674887246436,4.349963148346161
79,15.600671429477249,4.012961404528466
80,13.410587301694324,3.8102393048907124
81,6.504941673924832,3.812754061355477
82,19.529792935749416,3.9292080037082915
83,6.119205634055093,3.724272772098457
84,6.119205634055093,3.6315575352188345
85,0.0,3.4636859463584138
86,0.0,3.6035490630752993
87,11.893799180877512,3.8483426990718472
88,0.0,3.5434899120240444
89,0.0,3.502658877385664
90,0.0,3.484234928660565
91,0.0,3.484234928660565
92,0.0,3.484234928660565
93,0.0,3.484234928660565
94,0.0,3.484234928660565
95,0.0,3.484234928660565
96,0.0,3.484234928660565
97,0.0,3.484234928660565
98,0.0,3.484234928660565
99,0.0,3.484234928660565
100,0.0,3.484234928660565
101,0.0,3.484234928660565
102,0.0,3.484234928660565
103,0.0,3.484234928660565
104,0.0,3.484234928660565
105,0.0,3.484234928660565
106,0.0,3.484234928660565
107,0.0,3.484234928660565
108,0.0,3.484234928660565
109,0.0,3.484234928660565
110,0.0,3.484234928660565
111,0.0,3.484234928660565
112,0.0,3.484234928660565
113,0.0,3.484234928660565
114,0.0,3.484234928660565
115,0.0,3.484234928660565
116,0.0,3.484234928660565
117,0.0,3.484234928660565
118,0.0,3.484234928660565
119,0.0,3.484234928660565
120,0.0,3.484234928660565
121,0.0,3.484234928660565
122,0.0,3.484234928660565
123,0.0,3.484234928660565
124,0.0,3.484234928660565
125,0.0,3.484234928660565
126,0.0,3.461074316659733
127,8.052066361957568,3.3658580885655454
128,26.107821014827444,3.187105123887402
129,42.32638217263464,2.8254798122007454
130,69.40824233272431,2.4008819801582804
131,169.01828465526006,2.27995408701724
132,161.71949460674557,1.9726884749033766
133,224.53553583181215,2.0625502322000804
134,342.7439749619458,2.089865631799472
135,305.39732673456473,2.168821946819183
136,371.76590672922106,2.0343419525952484
137,269.86630941122644,1.9819145133079663
138,563.7421469330867,2.012348500377306
139,422.50821878882135,2.1211373693052806
140,364.73902068413616,2.251333404243575
141,335.1679989095121,2.3363178317866122
142,231.35380050586906,2.410643972508804
143,170.97321964445396,2.3973293102702744
144,172.2960870455463,2.555169961206439
145,155.45337947449133,2.5452368391968045
146,150.69874198339045,2.5523494287844675
147,193.32216598568442,2.7466098687426515
148,153.92627647159838,2.718398138377246
149,104.04667111382219,2.6972125602655157
150,91.05105860807213,2.7176047862007064
151,108.31286476674123,2.762999594729829
152,123.25033112377763,2.8096982923607774
153,108.81832197583475,2.7818058749744132
