,Electricity_price
0,45.0
1,45.0
2,45.0
3,45.0
4,45.0
5,45.0
6,45.0
7,45.0
8,45.0
9,45.0
10,45.0
11,45.0
12,45.0
13,45.0
14,45.0
15,45.0
16,45.0
17,45.0
18,45.0
19,45.0
20,45.0
21,45.0
22,45.0
23,45.0
24,45.0
25,45.0
26,45.0
27,45.0
28,45.0
29,45.0
30,45.0
31,45.0
32,45.0
33,45.0
34,45.0
35,45.0
36,45.0
37,42.1875
38,39.375
39,36.5625
40,33.75
41,30.9375
42,28.125
43,25.3125
44,22.5
45,22.5
46,22.5
47,22.5
48,22.5
49,22.5
50,22.5
51,22.5
52,22.5
53,25.3125
54,28.125
55,30.9375
56,33.75
57,36.5625
58,39.375
59,42.1875
60,45.0
61,45.0
62,45.0
63,45.0
64,45.0
65,45.0
66,45.0
67,45.0
68,45.0
69,45.0
70,45.0
71,45.0
72,45.0
73,45.0
74,45.0
75,45.0
76,45.0
77,45.0
78,45.0
79,45.0
80,45.0
81,45.0
82,45.0
83,45.0
84,45.0
85,45.0
86,45.0
87,45.0
88,45.0
89,45.0
90,45.0
91,45.0
92,45.0
93,42.1875
94,39.375
95,36.5625
96,33.75
97,30.9375
98,28.125
99,25.3125
100,22.5
101,19.6875
102,16.875
103,14.0625
104,11.25
105,11.25
106,11.25
107,11.25
108,11.25
109,14.0625
110,16.875
111,19.6875
112,22.5
113,25.3125
114,28.125
115,30.9375
116,33.75
117,36.5625
118,39.375
119,42.1875
120,45.0
121,45.0
122,45.0
123,45.0
124,45.0
125,45.0
126,45.0
127,45.0
128,45.0
129,42.1875
130,39.375
131,36.5625
132,33.75
133,30.9375
134,28.125
135,25.3125
136,22.5
137,19.6875
138,16.875
139,14.0625
140,11.25
141,11.25
142,11.25
143,11.25
144,11.25
145,14.0625
146,16.875
147,19.6875
148,22.5
149,25.3125
150,28.125
151,30.9375
152,33.75
153,36.5625
154,39.375
155,42.1875
156,45.0
157,45.0
158,45.0
159,45.0
160,45.0
161,45.0
162,45.0
163,45.0
164,45.0
165,43.72375
166,42.447500000000005
167,41.17125000000001
168,39.89500000000001
169,39.89500000000001
170,39.89500000000001
171,39.89500000000001
172,39.89500000000001
173,39.89500000000001
174,39.89500000000001
175,39.89500000000001
176,39.89500000000001
177,38.23750000000001
178,36.58000000000001
179,34.922500000000014
180,33.265000000000015
181,32.07437500000001
182,30.88375000000001
183,29.69312500000001
184,28.50250000000001
185,28.50250000000001
186,28.50250000000001
187,28.50250000000001
188,28.50250000000001
189,28.50250000000001
190,28.50250000000001
191,28.50250000000001
192,28.50250000000001
193,27.628750000000007
194,26.755000000000006
195,25.881250000000005
196,25.007500000000004
197,27.474375000000006
198,29.941250000000007
199,32.40812500000001
200,34.875000000000014
201,32.343750000000014
202,29.812500000000014
203,27.281250000000014
204,24.750000000000014
205,24.750000000000014
206,24.750000000000014
207,24.750000000000014
208,24.750000000000014
209,27.281250000000014
210,29.812500000000014
211,32.343750000000014
212,34.875000000000014
213,34.875000000000014
214,34.875000000000014
215,34.875000000000014
216,34.875000000000014
