,Electricity_price
0,45.0
1,45.0
2,45.0
3,45.0
4,45.0
5,45.0
6,45.0
7,45.0
8,45.0
9,45.0
10,45.0
11,45.0
12,45.0
13,45.0
14,45.0
15,45.0
16,45.0
17,45.0
18,45.0
19,45.0
20,45.0
21,45.0
22,45.0
23,45.0
24,45.0
25,45.0
26,45.0
27,45.0
28,45.0
29,45.0
30,45.0
31,45.0
32,45.0
33,45.0
34,45.0
35,45.0
36,45.0
37,45.0
38,45.0
39,45.0
40,45.0
41,39.375
42,33.75
43,28.125
44,22.5
45,16.875
46,11.25
47,5.625
48,0.0
49,5.625
50,11.25
51,16.875
52,22.5
53,28.125
54,33.75
55,39.375
56,45.0
57,45.0
58,45.0
59,45.0
60,45.0
61,45.0
62,45.0
63,45.0
64,45.0
65,45.0
66,45.0
67,45.0
68,45.0
69,45.0
70,45.0
71,45.0
72,45.0
73,45.0
74,45.0
75,45.0
76,45.0
77,45.0
78,45.0
79,45.0
80,45.0
81,45.0
82,45.0
83,45.0
84,45.0
85,45.0
86,45.0
87,45.0
88,45.0
89,45.0
90,45.0
91,45.0
92,45.0
93,45.0
94,45.0
95,45.0
96,45.0
97,39.375
98,33.75
99,28.125
100,22.5
101,16.875
102,11.25
103,5.625
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,5.625
110,11.25
111,16.875
112,22.5
113,28.125
114,33.75
115,39.375
116,45.0
117,45.0
118,45.0
119,45.0
120,45.0
121,45.0
122,45.0
123,45.0
124,45.0
125,45.0
126,45.0
127,45.0
128,45.0
129,45.0
130,45.0
131,45.0
132,45.0
133,39.375
134,33.75
135,28.125
136,22.5
137,16.875
138,11.25
139,5.625
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,5.625
146,11.25
147,16.875
148,22.5
149,28.125
150,33.75
151,39.375
152,45.0
153,45.0
154,45.0
155,45.0
156,45.0
157,45.0
158,45.0
159,45.0
160,45.0
161,45.0
162,45.0
163,45.0
164,45.0
165,45.0
166,45.0
167,45.0
168,45.0
169,42.4475
170,39.894999999999996
171,37.342499999999994
172,34.78999999999999
173,34.78999999999999
174,34.78999999999999
175,34.78999999999999
176,34.78999999999999
177,37.342499999999994
178,39.894999999999996
179,42.4475
180,45.0
181,41.685
182,38.370000000000005
183,35.05500000000001
184,31.74000000000001
185,26.806250000000006
186,21.872500000000006
187,16.938750000000006
188,12.005000000000006
189,15.320000000000006
190,18.63500000000001
191,21.95000000000001
192,25.26500000000001
193,30.19875000000001
194,35.132500000000014
195,40.06625000000002
196,45.00000000000002
197,39.93750000000002
198,34.87500000000002
199,29.81250000000002
200,24.75000000000002
201,24.75000000000002
202,24.75000000000002
203,24.75000000000002
204,24.75000000000002
205,24.75000000000002
206,24.75000000000002
207,24.75000000000002
208,24.75000000000002
209,24.75000000000002
210,24.75000000000002
211,24.75000000000002
212,24.75000000000002
213,29.81250000000002
214,34.87500000000002
215,39.93750000000002
216,45.00000000000002
217,45.00000000000002
218,45.00000000000002
219,45.00000000000002
220,45.00000000000002
221,42.036250000000024
222,39.072500000000026
