,Electricity_price
0,45.0
1,45.0
2,45.0
3,45.0
4,45.0
5,45.0
6,45.0
7,45.0
8,45.0
9,45.0
10,45.0
11,45.0
12,45.0
13,45.0
14,45.0
15,45.0
16,45.0
17,45.0
18,45.0
19,45.0
20,45.0
21,45.0
22,45.0
23,45.0
24,45.0
25,45.0
26,45.0
27,45.0
28,45.0
29,45.0
30,45.0
31,45.0
32,45.0
33,45.0
34,45.0
35,45.0
36,45.0
37,45.0
38,45.0
39,45.0
40,45.0
41,45.0
42,45.0
43,33.75
44,22.5
45,11.25
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,11.25
52,22.5
53,33.75
54,45.0
55,45.0
56,45.0
57,45.0
58,45.0
59,45.0
60,45.0
61,45.0
62,45.0
63,45.0
64,45.0
65,45.0
66,45.0
67,45.0
68,45.0
69,45.0
70,45.0
71,45.0
72,45.0
73,45.0
74,45.0
75,45.0
76,45.0
77,45.0
78,45.0
79,45.0
80,45.0
81,45.0
82,45.0
83,45.0
84,45.0
85,45.0
86,45.0
87,45.0
88,45.0
89,45.0
90,45.0
91,45.0
92,45.0
93,45.0
94,45.0
95,45.0
96,45.0
97,45.0
98,45.0
99,33.75
100,22.5
101,11.25
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,11.25
112,22.5
113,33.75
114,45.0
115,45.0
116,45.0
117,45.0
118,45.0
119,45.0
120,45.0
121,45.0
122,45.0
123,45.0
124,45.0
125,45.0
126,45.0
127,45.0
128,45.0
129,45.0
130,45.0
131,45.0
132,45.0
133,45.0
134,45.0
135,33.75
136,22.5
137,11.25
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,11.25
148,22.5
149,33.75
150,45.0
151,45.0
152,45.0
153,45.0
154,45.0
155,45.0
156,45.0
157,45.0
158,45.0
159,45.0
160,45.0
161,45.0
162,45.0
163,45.0
164,45.0
165,45.0
166,45.0
167,45.0
168,45.0
169,45.0
170,45.0
171,39.894999999999996
172,34.78999999999999
173,29.684999999999988
174,24.579999999999984
175,29.684999999999985
176,34.78999999999999
177,39.894999999999996
178,45.0
179,45.0
180,45.0
181,45.0
182,45.0
183,38.37
184,31.739999999999995
185,25.109999999999992
186,18.479999999999993
187,15.242499999999993
188,12.004999999999992
189,8.767499999999991
190,5.529999999999991
191,15.39749999999999
192,25.26499999999999
193,35.132499999999986
194,44.999999999999986
195,44.999999999999986
196,44.999999999999986
197,44.999999999999986
198,44.999999999999986
199,34.874999999999986
200,24.749999999999986
201,14.624999999999986
202,4.499999999999986
203,14.624999999999986
204,24.749999999999986
205,34.874999999999986
206,44.999999999999986
207,34.874999999999986
208,24.749999999999986
209,14.624999999999986
210,4.499999999999986
211,14.624999999999986
212,24.749999999999986
213,34.874999999999986
214,44.999999999999986
215,44.999999999999986
216,44.999999999999986
217,44.999999999999986
218,44.999999999999986
219,44.999999999999986
220,44.999999999999986
221,44.999999999999986
222,44.999999999999986
223,39.072499999999984
