,Electricity_price
0,45.0
1,45.0
2,45.0
3,45.0
4,45.0
5,45.0
6,45.0
7,45.0
8,45.0
9,45.0
10,45.0
11,45.0
12,45.0
13,45.0
14,45.0
15,45.0
16,45.0
17,45.0
18,45.0
19,45.0
20,45.0
21,45.0
22,45.0
23,45.0
24,45.0
25,45.0
26,45.0
27,45.0
28,45.0
29,45.0
30,45.0
31,45.0
32,45.0
33,45.0
34,45.0
35,45.0
36,45.0
37,45.0
38,45.0
39,41.25
40,37.5
41,33.75
42,30.0
43,26.25
44,22.5
45,18.75
46,15.0
47,15.0
48,15.0
49,15.0
50,15.0
51,18.75
52,22.5
53,26.25
54,30.0
55,33.75
56,37.5
57,41.25
58,45.0
59,45.0
60,45.0
61,45.0
62,45.0
63,45.0
64,45.0
65,45.0
66,45.0
67,45.0
68,45.0
69,45.0
70,45.0
71,45.0
72,45.0
73,45.0
74,45.0
75,45.0
76,45.0
77,45.0
78,45.0
79,45.0
80,45.0
81,45.0
82,45.0
83,45.0
84,45.0
85,45.0
86,45.0
87,45.0
88,45.0
89,45.0
90,45.0
91,45.0
92,45.0
93,45.0
94,45.0
95,41.25
96,37.5
97,33.75
98,30.0
99,26.25
100,22.5
101,18.75
102,15.0
103,11.25
104,7.5
105,3.75
106,0.0
107,3.75
108,7.5
109,11.25
110,15.0
111,18.75
112,22.5
113,26.25
114,30.0
115,33.75
116,37.5
117,41.25
118,45.0
119,45.0
120,45.0
121,45.0
122,45.0
123,45.0
124,45.0
125,45.0
126,45.0
127,45.0
128,45.0
129,45.0
130,45.0
131,41.25
132,37.5
133,33.75
134,30.0
135,26.25
136,22.5
137,18.75
138,15.0
139,11.25
140,7.5
141,3.75
142,0.0
143,3.75
144,7.5
145,11.25
146,15.0
147,18.75
148,22.5
149,26.25
150,30.0
151,33.75
152,37.5
153,41.25
154,45.0
155,45.0
156,45.0
157,45.0
158,45.0
159,45.0
160,45.0
161,45.0
162,45.0
163,45.0
164,45.0
165,45.0
166,45.0
167,43.29833333333334
168,41.59666666666667
169,39.89500000000001
170,38.19333333333334
171,38.19333333333334
172,38.19333333333334
173,38.19333333333334
174,38.19333333333334
175,38.19333333333334
176,38.19333333333334
177,38.19333333333334
178,38.19333333333334
179,37.68500000000001
180,37.176666666666684
181,36.66833333333335
182,36.16000000000002
183,32.87083333333335
184,29.58166666666668
185,26.292500000000015
186,23.003333333333345
187,23.003333333333345
188,23.003333333333345
189,23.003333333333345
190,23.003333333333345
191,25.213333333333342
192,27.423333333333343
193,29.63333333333334
194,31.843333333333337
195,31.757500000000007
196,31.671666666666678
197,31.585833333333344
198,31.500000000000014
199,31.500000000000014
200,31.500000000000014
201,31.500000000000014
202,31.500000000000014
203,28.125000000000014
204,24.750000000000014
205,21.375000000000014
206,18.000000000000014
207,21.375000000000014
208,24.750000000000014
209,28.125000000000014
210,31.500000000000014
211,31.500000000000014
212,31.500000000000014
213,31.500000000000014
214,31.500000000000014
215,34.875000000000014
216,38.250000000000014
217,41.625000000000014
218,45.00000000000002
219,43.02416666666668
